amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-1895868-2939036	250-1895868-2939036	2022-01-24T21:55:20+09:00	2022-01-25T14:36:57+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 6足セット	4A-DTGP-MQP7	B07RSL86XB	Shipped	1	JPY	1280.0	116.0	137.0	12.0				137.0		神奈川県	253-0012	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-2804456-7231068	249-2804456-7231068	2022-01-24T20:40:58+09:00	2022-01-25T06:25:24+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1480.0	135.0								神奈川県	221-0053	JP	
250-8130581-9883014	250-8130581-9883014	2022-01-24T19:52:34+09:00	2022-01-25T06:05:51+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・ 	UY-Y0MP-V8FJ	B089WH17QK	Shipped	1	JPY	2580.0	235.0								兵庫県	657-0826	JP	
250-6285094-5482224	250-6285094-5482224	2022-01-24T19:47:10+09:00	2022-01-25T06:35:00+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の 	KH-0RZG-S1GO	B07RP5YSYZ	Shipped	1	JPY	2180.0	198.0								神奈川県	241-0025	JP	
250-7075901-3128654		2022-01-24T19:40:48+09:00	2022-01-26T15:07:43+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】E012 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 ネコ型 猫 	SQ-X4FX-KVHI	B075FS1NY4	Shipped	1	JPY	398.0	36.0								東京都	206-0021	JP	
249-9721428-0190224	249-9721428-0190224	2022-01-24T19:25:40+09:00	2022-01-24T23:35:43+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デ	JC-9CLM-Q8BL	B07SR6GSLT	Shipped	1	JPY	2980.0	271.0								東京都	130-0024	JP	
503-8822870-7162253		2022-01-24T18:55:47+09:00	2022-01-26T15:04:42+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A131 サムスンギャラクシー S8 S8+ S8 Plus S9 S9+ Note 8対応 ケース 透明 クリアケース スマホケース 高機能	VO-S3QE-R9I5	B07F7MYFKZ	Shipped	1	JPY	318.0	29.0								富山県	930-0813	JP	
503-1267588-9405418	503-1267588-9405418	2022-01-24T16:26:37+09:00	2022-01-25T06:14:42+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV	Shipped	1	JPY	1280.0	116.0								東京都	179-0074	JP	
503-0921531-6643862	503-0921531-6643862	2022-01-24T16:05:05+09:00	2022-01-25T02:21:47+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)	3T-Y9S7-7048	B07RNDP5VC	Shipped	1	JPY	1280.0	116.0								静岡県	416-0952	JP	
503-1634969-3944663	503-1634969-3944663	2022-01-24T15:39:26+09:00	2022-01-25T06:04:34+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)	8Q-VTYS-YQ5Z	B07RNDQ5S7	Shipped	1	JPY	1480.0	135.0								東京都	112-0001	JP	
